A11887,A11887,A11887
PTC4,PTC5,PTC6
Deg.F,Deg.F,Deg.F
85.6,85.7,85.4
85.6,85.7,85.4
85.6,85.7,85.3
85.6,85.7,85.3
86.9,86.5,86.7
87.9,87.5,87.3
88.7,88.6,88.8
90.3,90,90.4
92,91.7,92.2
94,93.6,94.7
96.1,95.8,96.5
98.4,98,98.8
100.6,100.5,102.1
103.5,103.2,105.2
106.7,106.3,108.4
109.5,109.2,110.8
112.6,112.5,114.7
116.2,115.9,119
116.2,115.9,119
119.6,119.5,121.8
122.9,123.1,125.4
126.9,127,129.5
130.6,130.8,133.7
134.8,134.7,137.9
138.3,138.6,141.3
142.2,142.4,145.4
146.4,146.6,149.5
150.3,150.8,154
154.3,154.9,157.7
158.1,158.8,162.1
161.9,162.9,166.2
165.7,166.9,169.5
169.7,171,174.5
173.3,175,178.5
177.2,178.9,182.8
181.1,183.2,185.6
184.9,187.2,190.8
189,191,194.5
192.7,195.1,198.6
196.7,199.1,202.4
200.3,202.9,205.9
204.5,206.9,209.7
208.3,210.9,213.9
212.2,214.8,218.1
215.5,218.9,222.5
220.4,222.9,226.4
223.9,226.7,230
226.5,229.2,232
228.8,231.3,234.6
229.8,232.1,235.7
232,234.1,237.2
234.2,236.4,239.5
0,237.9,240.4
0,239.5,241
239.2,240.8,243.2
231.4,242.4,244.5
0,243.4,245.4
0,244.5,246.6
45.3,245.4,247
0,246,247.3
246,247,248
0,247.6,247.5
247.3,248.1,249.2
245,248.4,249.8
0,248.5,249
76.9,249.2,250.4
248.9,249.6,250.3
0,249.9,250
0,250.1,251.3
0,250.3,250.5
249.9,250.6,251.6
250.2,250.7,251.8
0,250.8,251.1
0,251,250.9
420,251,250.2
0,251.2,251.9
250.5,251.3,251.5
0,251.3,251.7
0,251.4,251.9
0,251.4,251.4
0,251.5,252.1
0,251.5,252.2
251.6,251.4,251.8
0,251.8,251.7
103.1,251.7,252.4
251.6,251.6,251.8
0,251.8,252
0,251.6,251
251.1,252.1,252
102.2,251.5,252.2
0,251.5,252
0,251.7,252
0,251.6,251.4
488.8,251.9,250.9
0,251.8,252.5
0,251.5,252
250.9,251.5,251.9
0,251.6,252.8
0,251.6,251.5
133.4,251.9,250.8
0,251.5,251.8
0,251.5,251.6
0,251.6,252.2
678.6,251.6,251.4
252.3,251.4,251
0,251.6,251.3
250.4,251.6,251.9
461.4,251.8,252.5
253,251.5,251.6
0,251.5,252
0,251.6,251.7
0,251.7,251.4
0,251.6,251.9
250.6,251.6,251.7
0,251.7,251.9
0,251.7,252.6
0,251.5,252.1
248.3,251.8,252.5
0,251.6,251.5
251.4,251.7,252.1
250.6,251.7,252.8
248,251.7,250.2
0,251.7,252.5
250.8,251.6,250.8
0,251.6,251.9
0,251.6,251.9
0,251.5,250.9
0,251.7,252
0,251.7,252
0,251.5,250.9
266.5,251.5,251.5
0,251.5,252.4
0,251.5,251.5
0,251.5,251.2
0,251.6,251.8
0,251.7,251.3
0,251.4,252.2
0,251.5,251.9
49.5,251.5,251
0,251.5,252.1
0,251.5,251.4
0,251.5,252.2
0,251.5,252
0,251.4,251.5
0,251.5,251.9
0,251.6,251.2
0,251.5,250.7
0,251.6,250.9
0,251.6,252.1
0,251.7,252.3
0,251.6,252.6
0,251.5,251.6
0,251.5,251.6
0,251.5,252.1
0,251.6,252.8
0,251.7,250.7
0,251.4,252.2
0,251.4,250.7
0,251.5,251
0,250.4,250
0,249.8,249.8
0,248.2,247.5
238.8,247.6,246.6
0,245.5,244.7
0,243.8,243.2
0,242.3,240.6
163.7,239.8,240.4
0,238.6,238.1
0,238,237.3
0,235.4,234.9
0,233.3,231.9
0,230.3,228.8
0,228.1,226.5
226.1,225.1,222.9
0,222.3,220
0,219.6,216.2
219.7,216.4,214.4
0,213.1,209.8
0,210.2,207.1
0,207.3,204.1
0,204,201.4
0,200.6,197.5
0,197.7,194.8
0,194.6,192.7
0,191.7,189.5
0,188.9,185.8
0,186,182.6
0,183.3,179.7
0,180.6,177.4
0,177.9,175.6
0,175.4,173.3
194.6,172.9,170.6
0,170.5,167.7
168.7,168.1,165.7
0,165.8,162.6
195.7,163.6,162
0,161.8,158.7
0,159.6,157.4
0,157.5,155
0,155.6,154.3
0,153.7,151.7
101.3,151.9,149.6
0,150.5,148.8
0,148.7,147.1
0,147.3,145.6
0,145.7,144.2
188.2,144.3,142.7
0,142.9,141.5
0,141.5,139.5
0,140.3,139.7
0,139,138.3
0,137.7,135
0,136.6,134.1
0,135.3,134.8
0,134.3,133.7
327.8,133.4,132.3
0,132.3,131.8
0,132.4,132.1
0,131.3,129.5
0,130.2,128.8
0,128.9,127.9
0,127.9,126.8
0,127,126.4
0,126,125.5
0,125.7,125.1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
