A47143,A47143,A47143
PTC10,PTC11,PTC12
Deg.F,Deg.F,Deg.F
84.4,84,84.3
84.4,84,84.3
84.2,84.1,84.4
84.2,84.1,84.4
85,84.7,85.7
85.1,85.4,86.6
86.3,86.3,87.6
87.7,87.5,89.2
89.1,88.7,91
90.7,90.2,93
92.5,90.4,95.3
93.4,93.1,97.3
94.6,95,99.8
98.4,97.5,102.4
100.9,99.1,105.3
103.5,101.5,108.1
106.5,104.9,111.1
108.9,107.9,114.4
108.9,107.9,114.4
112.2,111.5,117.8
113.9,114.2,121.1
115,117.3,124.7
121.3,121.1,128
124.9,84.8,131.6
129.1,127.8,135.2
132.3,130.2,138.6
132.8,135.2,142.6
140.2,139,146.5
143.8,142.4,150.5
147.6,146.3,154
149.8,149.9,157.7
154.6,153.7,161.2
159.3,157.5,165.1
162.9,161.6,168.3
166.7,165.4,172.5
170.7,169.4,176.2
173.6,173.2,180
178.3,177,184
182,180.8,187.5
185.8,184.6,191.2
190,188.5,195.3
193.9,192.4,199
197.8,196.5,202.9
201.4,200.4,206.7
204.2,204,210.6
209.1,208.1,214.6
212.2,211.9,218.1
216.5,215,220.8
217.8,216.9,222.9
219,217.8,223.4
222.2,220.5,225.7
222.2,222.9,228
225.7,225,229.8
227.9,226.9,231.6
228.8,228.9,233.3
231.2,230.5,234.6
231.7,232.1,235.9
232.5,233.6,237.1
235.7,235,238.4
235.4,236.2,239.4
237.9,237.4,240.5
235.8,238.5,241.4
239.6,239.5,242.5
240.3,240.2,242.6
241,240.4,243
241.7,241.4,243.7
242.7,242.2,244.4
243,243,245
243.9,243.6,245.5
244.4,244.2,245.9
245.1,244.9,246.7
245.6,245.4,247.3
246.1,245.9,247.4
246.5,246.4,247.7
247.1,246.9,247.9
247.4,247.2,248.6
247.7,247.5,248.6
248,247.9,248.8
248.3,248.2,249.1
248.5,248.5,249.3
248.8,248.6,249.6
249,249,249.7
249.2,249,249.8
249.3,249.2,250
249.4,249.4,249.9
249.5,249.5,250.3
249.6,249.7,250.2
249.7,249.7,250
249.8,249.8,250.5
250,249.9,250.5
250.2,250,250.6
250.1,250.1,250.6
250.2,250.2,250.8
250.3,250.2,250.6
250.2,250.3,250.7
250.3,250.3,250.8
250.4,250.4,250.5
250.5,250.4,250.9
250.2,250.5,250.7
248.5,250.5,251
249.6,250.5,250.9
250,250.6,251.1
250.2,250.6,251.1
250.6,250.7,251.2
250.6,250.7,251.1
250.7,250.7,251.5
250.7,250.7,251.1
250.8,250.8,251.2
250.8,250.8,251.1
250.7,250.8,251.2
250.7,250.8,251.2
250.6,250.9,251.4
250.8,250.9,251.1
250.8,250.9,251.3
250.9,250.9,251.1
250.9,250.9,251.2
250.9,250.9,251.1
250.8,250.9,251.2
250.9,250.9,251.2
250.8,250.8,251.2
250.9,250.8,251.1
251.1,250.9,251.2
251,250.9,251.4
250.9,250.9,251.3
251,251,251.4
251.1,250.9,251.5
251,251,251.3
251,251,251.3
251.2,251.1,251.1
250.9,250.9,252
251,251,251.2
250.9,251,251.4
251,251,251.2
250.9,251,251.2
250.9,250.9,251.2
250.9,251,251.3
250.9,250.9,251.2
251,250.9,251.3
250.9,250.9,251.3
251.1,250.9,251.1
250.8,250.9,251.1
250.8,250.9,251.2
250.9,250.9,251.2
251.1,250.9,251.3
250.9,250.8,251.3
250.9,251,251.2
251,251,251.5
251,251,251.2
251,251,251.1
251.1,250.9,251.2
251.1,251,251.3
251.2,251,251.3
251.1,251.1,251.3
251.1,251,251.3
251.2,251.1,251.3
251.1,251.1,251.3
251,251,251.3
251.1,250.9,250.9
250.9,250.9,251.1
250.1,250.2,250.3
249.6,249.7,249.6
248.5,248.7,248.2
247.7,247.8,247.2
246.3,246.6,245.8
244.8,245.1,243.9
243.6,243.9,242.5
241.7,242.1,240.4
240.5,240.9,239.1
240.2,240.4,238.5
238.2,238.6,236
236.2,236.6,234.1
233.9,234.4,231.5
231.7,232.3,229.1
229.2,229.7,226.5
227,227.7,224.2
224.5,225.3,221.6
221.7,222.5,218.4
219.3,220.2,215.7
216.6,217.5,212.7
213.9,214.8,209.8
211.1,212.1,206.7
208,209,203.9
205.5,206.5,201.1
202.7,203.7,197.9
199.8,200.8,195.2
197.4,198.3,192.2
194.6,195.6,189.7
192.1,193,187.1
189.5,190.5,184.5
186.9,187.9,181.8
184.5,185.3,179.3
182.3,183.1,176.8
180,180.8,174.5
177.4,178.2,172
175.1,175.8,169.8
172.8,173.5,167.6
170.7,171.5,165.6
168.8,169.4,163.6
166.5,167.2,161.8
164.4,165.1,159.5
162.7,163.2,157.7
160.7,161.4,155.9
159.1,159.5,154.1
157.2,157.8,152.5
155.4,156.1,150.9
153.8,154.4,149.3
152.4,152.8,147.8
150.7,151.2,146.3
149,149.6,144.8
147.5,148,143.5
146.2,146.7,142.2
144.8,145.2,140.9
143.5,143.9,139.6
142.2,142.7,138.5
141,141.3,137.3
139.7,140.1,136.2
138.6,139,135.3
138.6,139.1,135.2
137.4,137.7,134
136.2,136.5,132.8
135,135.3,131.8
133.9,134.2,130.8
132.8,133.1,129.9
132,132.1,129.1
131.8,131.8,128.9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
