A11887,A11887,A11887
PTC25,PTC26,PTC27
Deg.F,Deg.F,Deg.F
82,82.5,81
82,82.5,81
82,82.5,81
82,82.5,81
82.9,84.5,81.7
83.6,85.6,82.5
84.1,86.5,82.9
84.8,87.6,83.4
85.9,89.4,84.4
87,91.1,85.6
88.3,93.1,87
90.2,95.4,88.8
91.8,97.5,90.2
93.9,100,92
96,102.6,94
98.2,105,96.4
100.6,107.7,98.5
102,109.4,100
103.2,110.7,101
105.9,113.8,103.9
108.7,117,106.4
111.9,120.8,109.6
114.8,123.4,112.2
118,126.8,115.5
121.5,130.4,118.9
125.2,134,122.5
128.5,137.4,125.5
131.8,140.9,129.2
135.3,144.5,132.5
139.3,148.6,136.6
142.1,151.4,139.4
145.8,155.7,143
149.6,158.8,146.7
152.8,162.7,150.2
156.1,166.7,153.8
160.5,170.4,157.5
163.5,173.8,160.8
167.3,177.4,165
170.8,181.9,168.4
174.3,185.5,171.8
177.9,189.2,175.7
181.6,193,179.6
185.5,196.5,183.3
189.2,200.6,187.5
192.5,204.4,190.9
196.2,208.3,194.7
199.7,212.1,198.6
202.5,214.6,201.4
203.1,215.3,202.2
206.1,217.6,205.2
208.8,219.7,208.1
211.4,221.7,210.8
213.7,223.5,213.3
216,225.3,215.5
218.3,227,217.8
219.9,228.2,219.2
221.7,229.5,221.5
223.7,231.1,223.2
225.8,232.3,225.3
227.3,233.5,226.6
228.8,235,228.4
230,236,229.6
231.5,236.7,231.5
233,238,232.5
234.2,238.8,233.8
235.3,239.8,234.8
236.2,240.5,235.8
237.5,241.4,236.8
238.4,242,237.8
239.5,242.7,238.9
240.1,243.2,239.6
240.8,243.7,240.2
241.1,243.9,240.4
241.9,244.6,241.3
242.6,245.1,241.9
243.3,245.7,242.6
244.1,246.3,243.4
244.6,246.7,244.1
245.4,247.1,244.9
245.9,247.5,245.1
246.7,248.2,245.6
246.8,248.4,246.1
247.3,248.7,246.5
247.6,249.1,247.6
248.1,249.3,247.2
248.5,249.4,247.6
248.8,249.9,247.9
249,249.9,248.1
249.3,250.1,248.4
249.5,250.3,248.6
249.8,250.6,248.8
250.1,250.7,248.7
250.4,251,249.5
250.5,251,249.7
250.7,251.1,249.8
250.9,251.4,249.9
251.1,251.4,249.6
251.2,251.5,250
251.4,251.7,250.4
251.6,251.8,250.6
251.8,251.9,250.9
251.8,251.9,250.6
251.9,252,251
252,252.1,250.9
252.1,252.3,251.2
252.2,252.2,251.1
252.2,252.4,251.3
252.3,252.5,251.3
252.3,252.1,251.4
252.4,252.4,251.3
252.5,252.3,251.4
252.5,252.5,251.4
252.6,252.4,251.6
252.6,252.5,251.6
252.6,252.5,251.6
252.6,252.5,251.6
252.5,252.4,251.6
252.6,252.5,251.6
252.6,252.6,251.5
252.6,252.6,251.7
252.8,252.5,251.7
252.8,252.6,251.6
252.7,252.6,251.8
252.7,252.5,251.8
252.8,252.6,251.7
252.8,252.5,251.8
252.8,252.6,251.9
252.8,252.6,251.8
252.8,252.6,251.8
252.7,252.5,251.8
252.7,252.6,251.8
252.8,252.5,251.6
252.8,252.6,251.8
252.7,252.5,251.6
252.7,252.5,251.7
252.9,252.6,251.9
252.8,252.7,251.9
252.8,252.7,251.7
252.8,252.6,251.9
252.8,252.7,251.9
252.8,252.6,251.9
252.8,252.5,251.9
252.8,252.6,251.8
252.8,252.5,251.9
252.9,252.3,252
252.8,252.6,251.8
252.8,252.7,251.7
252.8,252.5,251.7
252.8,252.5,251.8
252.8,252.6,251.8
252.7,252.7,251.9
252.9,252.6,251.9
252.8,252.6,251.9
252.8,252.6,251.9
252.9,252.6,251.7
252.8,252.5,251.8
252.9,252.6,251.8
252.8,252.5,251.8
252.8,252.6,251.9
252.9,252.6,251.8
252.9,252.5,251.8
252.6,252.5,251.7
252.7,252.5,251.6
252.7,252.5,251.8
252.8,252.8,251.9
252.7,252.5,251.8
252.7,252.6,251.8
251.8,250.9,251.1
251.4,250.4,250.3
250.5,248.8,249.1
249,247,247.7
248.3,246.1,247.1
246.9,244.2,245.6
245.2,242.2,243.5
243.9,241,242.5
242.1,238.7,240.7
240.9,237.7,239.5
240.2,236.3,238.6
238.6,234.4,236.8
236.5,232.1,234.6
234.2,229.7,232.3
231.9,227.6,230
229.8,224.9,227.9
227.2,222.6,225.2
225,220.4,223.2
222.3,217.1,220.3
220.4,215.2,218.6
217.2,211.2,215.1
214.8,208.9,212.7
211.9,206.7,210
208.8,203,206.7
205.8,200.2,203.6
203,197.5,200.8
200.1,194.8,198
197.6,191.9,195.2
194.5,189.3,192.4
191.8,186.8,189.6
189.2,184.1,187
186.3,181.5,183.9
184.1,178.9,181.9
181.2,176.7,179.1
178.8,174.1,176.6
176.4,171.7,174.2
173.8,169.3,171.4
171.4,167.7,169.2
169.3,165.4,167.1
167.1,163.5,165.1
165,161,162.6
162.6,159.4,160.7
160.8,157,158.7
159.2,154.9,156.9
156.9,153.5,154.8
155.1,151.8,153.3
153.2,150.2,151.2
151.5,148.9,149.3
150,147.3,148.2
148.5,145.9,146.6
147,144.7,145.2
145.2,143.1,143.5
144,141.6,142.1
142.3,140.4,140.6
141.2,139.2,139.5
140,138,138.3
138.9,137.1,137.4
138.6,136.7,137
137.2,135.2,135.5
136.2,134,134.4
135.1,133,133.5
134.2,131.5,132.6
133.4,130.8,131.8
132.6,129.8,131.2
132.5,129.7,131.2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
