A927695,A927695,A927695
PTC10,PTC11,PTC12
Deg.F,Deg.F,Deg.F
74.1,74.1,74.5
74.1,74.1,74.5
74.1,74.1,74.5
74,74.1,74.5
76.1,75.6,77.4
78.4,78.2,80.6
81.1,81.1,83.8
84.3,84.3,87
87.5,87.6,90.1
91.7,91.9,94.7
93.8,94,95.5
93.9,94.3,95.3
98.3,98.2,99.8
103.2,103.6,105.3
108.4,109,110.3
114,114.4,115.2
119.4,120.3,120.7
125.2,126.6,126.7
132,133.3,132.4
138.5,140.5,139.5
146,148.2,146.1
153.3,155.7,152.6
158.8,161.2,157.4
160.3,163,159.7
168,170.7,166.4
174.9,178.2,173
182.6,185.6,179.8
190,193.1,187.5
197.2,200.1,194.5
204.4,208.1,201.4
210.1,213.3,206.5
216.2,219,211.7
220.6,223.3,216.1
225.3,227.8,220.4
229.2,231.6,224.2
233.2,235.4,228
236.9,238.8,231.6
239.6,241.6,234.5
242.5,244,237.5
244.8,246.3,240.1
247,248.2,242.5
249.1,250.1,244.6
250.9,251.8,246.8
252.7,253.5,248.8
254.3,255,250.7
255.9,256.4,252.6
256.8,257.5,253.9
257.8,258.3,255.1
258.6,258.6,255.8
259.4,259.5,257.1
260,260.2,257.8
260.7,260.8,258.7
261.1,261.2,259.3
261.6,261.6,259.9
261.9,261.9,260.4
262.3,262.2,260.9
262.6,262.5,261.3
262.9,262.8,261.6
263.1,262.9,262
263.3,263,262.2
263.5,263.3,262.6
263.6,263.4,262.7
263.8,263.5,263
264,263.7,263.2
264,263.8,263.2
264.1,263.9,263.4
264.1,264,263.6
264.3,264,263.7
264.2,263.9,263.8
264.2,264,263.7
264.2,264.1,263.7
264.3,264.1,263.9
264.4,264.1,263.9
264.5,264.2,264.1
264.5,264.1,264.1
264.6,264.2,264.1
264.6,264.3,264.2
264.7,264.3,264.3
264.7,264.3,264.4
264.7,264.3,264.3
264.6,264.3,264.4
264.6,264.3,264.4
264.6,264.3,264.4
264.7,264.4,264.4
264.8,264.4,264.5
264.7,264.4,264.5
264.7,264.3,264.5
264.7,264.3,264.5
264.7,264.4,264.5
264.7,264.3,264.4
264.7,264.5,264.5
264.7,264.5,264.5
264.8,264.5,264.5
264.7,264.4,264.5
264.8,264.5,264.5
264.7,264.4,264.5
264.7,264.4,264.5
264.7,264.6,264.5
264.8,264.5,264.5
264.8,264.5,264.6
264.8,264.5,264.6
264.8,264.5,264.6
264.7,264.4,264.6
264.7,264.5,264.5
264.8,264.5,264.6
264.7,264.4,264.6
264.8,264.5,264.5
264.8,264.5,264.5
264.8,264.5,264.6
264.8,264.5,264.5
264.8,264.4,264.6
264.8,264.4,264.6
264.8,264.4,264.6
264.8,264.5,264.6
264.8,264.5,264.6
264.8,264.5,264.6
264.8,264.5,264.5
264.9,264.5,264.6
264.8,264.5,264.6
264.8,264.5,264.6
263.2,263.3,262.6
262.5,261.7,261.8
262.1,261.6,261.6
261.8,261.3,261.5
261.5,261,261.4
261.3,260.9,261.2
261,260.6,261
260.9,260.5,260.9
260.6,260.2,260.7
260.5,260.3,260.6
260.4,260.2,260.4
260.3,259.8,260.3
260.2,259.8,260.2
260,259.7,260.1
259.9,259.6,259.9
259.8,259.5,259.8
259.9,259.4,259.8
259.7,259.3,259.7
259.7,259.3,259.6
259.6,259.2,259.5
259.5,259.2,259.3
259.5,259.2,259.4
259.5,259,259.3
259.4,259,259.2
259.4,259,259.2
259.3,259,259.3
259.5,259,259.3
259.3,259,259.3
259.3,259,259.2
259.4,259,259.3
259.3,258.9,259.2
259.5,259.1,259.3
259.5,259.1,259.4
259.5,259.2,259.4
259.5,259.1,259.4
259.5,259.2,259.3
259.5,259.2,259.4
259.5,259,259.2
259.5,259,259.2
259.5,259.1,259.3
259.5,259.2,259.4
258.7,258.6,258.5
257.9,257.4,257.3
256.1,255.8,255.3
255.2,254.5,254.5
252.7,251.9,251.7
251.3,250.8,250.8
249.9,248.9,249.4
247.9,247.3,247.4
247.1,246,246.3
245.2,244.2,244.4
243.3,242.2,243.1
240.5,239.2,240
237.6,236.5,237.2
235.4,234.3,235.7
232.9,231.5,233.3
229.7,228.4,230.1
226.7,225.5,227.2
224.5,223.2,225.4
221.4,219.9,222.1
217.9,216.4,218.7
215.2,213.9,216.4
212.4,210.9,213.4
208.6,207,210
205.8,204.4,207.1
202.9,201.3,204.4
199.1,197.7,200.7
195.9,194.3,197.6
192.5,190.9,194.2
189.1,187.4,191.3
185.7,183.8,187.2
181.9,180,183.9
178.5,176.7,181
175.3,173.4,177.6
172,170.2,174.5
169.2,167.4,172
166.3,164.5,168.9
163.3,161.6,166
160.6,159,163.4
158.1,156.4,160.9
155.4,153.7,158.1
153,151.5,156.1
150.6,149,153.4
148.2,146.8,151
146.2,144.6,148.7
144,142.7,146.8
141.9,140.6,144.6
140.3,138.8,142.6
138.3,137,141
136.4,135.2,138.8
134.9,133.7,137.3
132.9,131.8,135.1
132.6,131.4,134.8
131.1,130.1,133.4
129.3,128.2,131.3
128.1,126.9,130.2
127.1,125.9,129
126.7,125.3,128.7
126.7,125.3,128.7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
