A47143,A47143,A47143
PTC13,PTC14,PTC15
Deg.F,Deg.F,Deg.F
69.5,69.1,68.8
69.5,69.1,68.8
69.5,69.1,68.8
69.5,69.1,68.8
70.3,70.3,70.1
71.1,71.4,71.2
72,72.2,72.2
73,74,73.7
74.4,75.6,75.3
76,77.8,77.3
77.9,79.8,79.4
79.8,82.4,81.8
82.2,85.2,84.4
84.7,87.9,87
87.4,90.9,89.9
90.2,94.2,93
93.4,97.8,96.2
95.4,100.2,98.5
96.6,101.1,99.5
99.8,105,103.1
103.4,109,106.8
106.8,112.7,110.6
110.8,116.7,114.4
114.8,120.7,118.4
118.7,124.9,122.4
122.7,128.7,126.4
126.7,133.2,130.5
130.8,137.5,134.8
134.8,141.7,138.9
138.9,145.9,143.2
143,150.1,147.5
146.9,154.4,151.7
150.9,158.4,155.7
155,162.5,159.6
158.9,166.6,163.8
163,170.6,167.9
167.1,174.6,171.8
171.1,178.8,175.9
175.2,182.8,180.1
179.1,186.9,184
183.1,190.6,188
187.1,194.7,191.9
191.2,198.3,195.9
195.1,202.8,199.8
199.2,206.4,204
203.3,210.7,207.9
207.2,214.9,211.9
211.3,218.8,215.9
215.2,222.5,219.9
219.2,226.5,223.7
223.1,230.2,227.7
226.6,232.9,230.7
229.9,235.7,233.4
232.8,237.8,235.8
235.3,239.6,237.8
236.2,240.4,238.6
237.5,241.2,239.6
239.5,242.4,241.2
241.2,243.6,242.5
242.7,244.9,243.6
244,245.5,244.7
245,246.4,245.6
246,246.9,246.2
246.9,247.8,246.9
247.6,248.2,247.4
248.2,248.5,247.9
248.8,249,248.4
249.2,249.3,248.8
249.6,249.5,249
249.7,249.5,249.1
250,249.8,249.3
250.2,249.9,249.6
250.5,250.1,249.8
250.7,250.3,249.9
250.9,250.6,250.2
251.1,250.7,250.2
251.2,250.7,250.3
251.2,250.9,250.4
251.4,250.8,250.5
251.3,250.6,250.4
251.4,250.9,250.5
251.4,251,250.7
251.5,251,250.7
251.5,250.7,250.7
251.6,251.2,250.8
251.6,251.1,250.9
251.6,250.9,250.8
251.6,250.8,250.7
251.6,250.9,250.7
251.5,250.7,250.6
251.4,250.9,250.6
251.5,250.9,250.5
251.4,250.7,250.5
251.4,250.7,250.4
251.3,250.5,250.4
251.4,250.5,250.5
251.3,250.8,250.5
251.4,250.7,250.5
251.4,250.8,250.7
251.5,250.9,250.6
251.4,250.9,250.7
251.4,250.8,250.6
251.5,250.9,250.7
251.5,250.9,250.7
251.5,250.9,250.7
251.6,251,250.8
251.7,251.1,250.8
251.6,251,250.9
251.6,251,250.9
251.6,251.1,250.8
251.6,251,250.8
251.5,251.1,250.8
251.6,251.1,250.7
251.6,251,250.7
251.5,251.2,250.8
251.5,250.9,250.7
251.6,250.9,250.8
251.6,250.8,250.7
251.5,250.9,250.8
251.6,250.8,250.7
251.5,250.9,250.7
251.7,251.1,250.8
251.6,251,250.8
251.6,250.9,250.7
251.6,251.1,250.9
251.6,251.3,250.8
251.7,251,250.9
251.6,251.2,250.9
251.6,251.2,250.8
251.7,251.2,250.8
251.6,251.1,250.8
251.7,250.9,250.8
251.6,251,250.7
251.5,250.7,250.9
251.6,250.9,250.8
251.6,251.1,250.7
251.6,251,250.7
251.6,250.8,250.6
251.5,250.9,250.6
251.6,250.9,250.7
251.5,251.2,250.5
251.5,250.9,250.6
251.6,250.9,250.7
251.6,251,250.7
251.6,250.9,250.7
251.6,250.9,250.8
251.5,250.9,250.7
251.6,250.9,250.7
251.6,251.1,250.7
251.6,251.1,250.7
251.6,250.9,250.8
251.6,251,250.7
251.7,250.9,250.7
251.5,251,250.7
251.5,251,250.7
251.6,251.1,250.8
251.6,251,250.7
251.6,250.8,250.7
251.5,251.2,250.7
251.4,250.8,250.7
251.4,250.9,250.7
251.5,250.9,250.7
251.6,251.1,250.6
251.4,250.8,250.6
251.3,250.6,250.2
250.7,249.3,249.3
250.1,248.4,248.5
249.1,246.7,247
248.1,245.2,245.6
246.6,243,243.9
245.1,241.6,242.1
243.3,239,239.9
241.4,236.8,237.7
239.7,235.1,235.9
239.4,234.4,235.5
237.3,232.1,233.1
234.7,229,230.3
232.4,226.4,227.7
229.8,223.6,224.9
227,220.6,222
224.3,217.7,219.1
221.7,214.4,216.2
218.7,211.5,213.1
215.9,208.4,210
212.8,204.8,206.6
209.5,201.7,203.5
206.4,198.6,200.3
203.1,195.3,196.9
200,192.3,193.7
196.7,188.9,190.7
193.6,186.1,187.6
190.7,182.9,184.6
187.6,180.2,181.7
184.6,177,178.7
181.7,174.2,175.8
178.9,171.5,173.2
176.2,169,170.5
173.5,166.6,167.9
170.9,164.1,165.5
168.5,161.5,163.1
166,159.3,160.7
163.5,157.4,158.5
161.3,155.1,156.3
159.1,153.3,154.3
157,151.4,152.3
154.8,149.3,150.4
152.9,147.7,148.5
151,145.7,146.6
149.2,144,144.9
147.4,142.4,143.2
145.8,140.6,141.5
144.1,139.4,140.1
142.5,137.8,138.5
140.8,136.3,137.1
139.5,135.2,135.9
138,133.9,134.5
136.6,132.7,133.3
135.3,131.5,132
133.9,130.1,130.7
132.7,129.2,129.6
131.6,128.2,128.6
130.7,127.1,127.7
130.4,126.9,127.5
129.3,125.7,126.4
128.1,124.9,125.2
127,123.5,124.1
125.9,122.7,123
124.9,121.5,122
124,120.8,121.2
123.9,120.8,121.1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
