A927695,A927695,A927695
PTC19,PTC20,PTC21
Deg.F,Deg.F,Deg.F
79.3,77,76.5
79.3,77,76.5
79.3,77,76.5
79.3,77,76.5
80.2,77.5,76.8
81.7,78.5,77.7
82.9,79.7,78.5
84.4,80.8,79.5
86.3,82.4,81.1
88.4,84.2,83
90.8,86.3,85.1
90.8,86.5,85.2
93.7,89.2,88
97.5,92.6,91
101.5,96.1,94.2
105.1,99.8,97.8
109.2,104.2,101.7
114.1,108.7,106
119.6,113.7,110.6
124.6,118.5,115.5
130.7,124.2,120.4
136.6,130,125.7
141.6,135.4,130.9
147.1,141.2,136.5
149.6,143.2,138.5
153.3,146.8,142.2
158.9,152.4,147
164.5,157.9,152.4
169.8,162.9,157.5
176.6,168,162.3
181.6,172.7,167.2
184.3,177.3,171.6
188.4,182,175.7
192.5,185.7,0
196.1,190,0
200,193.7,0
203.3,197.4,0
207,201.1,0
210.3,204.6,0
212.8,207.7,0
216.4,211.1,0
219.7,214.4,0
222.4,217.5,0
225,220.2,0
227.9,223,0
230.6,225.7,0
231.5,227.9,0
234.1,230.3,0
235.6,232.1,0
237.9,234.3,0
239.4,236.1,0
240.8,237.8,0
241.7,239.5,0
244,241.3,0
245.5,242.6,0
246.3,243.6,0
247.8,245,0
248.8,245.9,0
249.7,247,0
250.9,248,0
251.6,248.8,0
252.5,249.8,0
253.5,250.7,0
254,251.4,0
254.9,252.2,0
255.1,252.6,0
255.9,253.4,0
255.8,253.7,0
256.9,254.5,0
256.8,254.9,0
257.8,255.5,0
258,256,0
258.6,256.4,0
258.6,256.7,0
259.5,257.3,0
259.2,257.4,0
260.2,258.1,0
259.9,258.1,0
260.7,258.6,0
260.6,258.7,0
260.4,258.6,0
261.3,259.2,0
260.9,259.1,0
261.7,259.7,0
261.3,259.7,0
262.2,260.3,0
261.9,260.1,0
262.6,260.6,0
262.1,260.4,0
263,260.8,0
262.5,260.7,0
263.3,261.2,0
262.8,260.9,0
263.5,261.4,0
263,261.1,0
263.7,261.5,0
263.4,261.5,0
264,261.8,0
263.7,261.7,0
264.1,262,0
264,261.9,0
264.3,262.2,0
264.3,262.2,0
264.2,262.3,0
264.6,262.4,0
263.8,262.2,0
264.6,262.6,0
264.3,262.2,0
265,263.5,0
264.7,262.8,0
262,261,0
265.6,263.6,0
265.4,263.3,0
265.8,263.6,0
265.5,263.5,0
265.8,263.6,0
265.1,263,0
264.5,262.7,0
265.3,263.2,0
264.8,262.8,0
265.3,263.1,0
265.2,263,0
265.1,263.2,0
265.4,263.2,0
264.7,262.9,0
265.4,263.3,0
265.2,263.2,0
265.4,263.4,0
265.5,263.4,0
264.8,263.1,0
264.9,263,0
263.8,262.3,0
264.5,262.8,0
264.2,262.3,0
263.3,261.8,0
263.8,262,0
263.4,261.7,0
262.7,261.2,0
263.3,261.4,0
262.9,261.2,0
262.4,260.9,0
262.7,261,0
262.5,260.7,0
262.1,260.6,0
262.4,260.6,0
261.9,260.2,0
261.9,260.2,0
262,260.2,0
261.6,259.8,0
261.9,260,0
261.8,259.9,0
261.3,259.4,0
261.7,259.8,0
261.5,259.5,0
260.8,259.1,0
261.4,259.4,0
261.2,259.2,0
260.7,258.8,0
261.2,259.2,0
261.1,259,0
260.4,258.7,0
261.2,259.1,0
261,259,0
260.5,258.5,0
261.1,259.1,0
261.1,258.9,0
260.5,258.7,0
260.8,259,0
261,258.9,0
260.6,258.7,0
260.6,258.8,0
260.4,258.7,0
260.6,258.6,0
260.2,258.3,0
259.2,257.6,0
258.5,257,0
257.3,256.2,0
256.8,255.6,0
256.1,254.7,0
255.1,253.7,0
253.8,252.4,0
252.8,252.2,0
252.6,251.3,0
250.9,249.8,0
249.1,248.3,0
247.3,246.5,0
246.3,245.2,0
244.1,243.3,245.4
241.9,241.4,0
240.4,239.6,0
238.1,237.6,111
236.5,235.8,238
234.1,233.6,236.5
231.8,231.4,234.5
230.3,229.4,232.4
227.6,226.9,0
225.6,224.9,226.9
223.1,222.6,225.4
220.5,220.1,222.9
218.5,217.8,220.4
215.4,214.8,218.2
212.7,212.5,215.5
210.2,210,212.4
207.3,207.2,210.5
205.3,204.7,206.9
202.2,201.9,203.4
199.6,199.1,200.6
197.3,196.6,198.4
193.8,193.6,195.4
191.3,190.7,193.3
188.9,188.3,190.6
185.6,185.4,187.3
183.4,183,185.7
181.3,180.5,183.1
178,177.7,180.4
176.5,175.5,178.1
173.4,172.9,175.3
171.3,170.7,173
168.4,168.2,169.6
166,165.6,167.8
164.3,163.6,165.7
161.9,161.2,163
160,159.2,161.5
158.5,157.4,159.4
156,155.2,157.2
154.4,153.3,155.2
152.5,151.3,153.4
150.4,149.4,150.7
148.5,147.6,149.5
148,147.1,149
146.5,145.5,147.4
144.7,143.3,145.5
143,141.3,144
140,139,142.6
139.1,137.5,141.3
138.9,136.8,141
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
