A79630,A79630,A79630
PTC10,PTC11,PTC12
Deg.F,Deg.F,Deg.F
1.5,1.8,-1
262.6,263.6,263.7
262.6,263.7,263.7
262.5,263.5,263.7
262.6,263.6,263.6
262.5,263.5,263.7
262.5,263.6,263.7
262.4,263.5,263.6
262.5,263.5,263.7
262.6,263.5,263.6
262.4,263.5,263.5
262.3,263.6,263.5
262.4,263.5,263.6
262.3,263.7,263.8
262.6,263.6,263.8
261.4,263.1,263.1
261.6,262.9,262.2
261.5,262.9,262
261.2,262.7,261.9
261,262.4,261.6
261,262.2,261.4
260.8,262,261.3
260.8,261.9,261.2
260.4,261.6,261
260.3,261.6,260.8
260.3,261.4,260.9
260,261.3,260.7
260.1,261.2,260.5
259.9,261.1,260.4
259.7,260.9,260.3
259.7,260.7,260.3
259.6,260.7,260.2
259.5,260.6,260.1
259.4,260.5,260
259.3,260.5,260
259.1,260.2,259.9
259,260.2,259.8
259.1,260.2,259.7
258.8,259.9,259.6
258.9,259.8,259.6
258.7,259.8,259.5
258.6,259.7,259.4
258.6,259.6,259.4
258.5,259.6,259.4
258.6,259.5,259.4
258.5,259.4,259.3
258.3,259.3,259.2
258.2,259.3,259.2
258.3,259.3,259.1
258.2,259.3,259.3
258.3,259.4,259.3
258.3,259.4,259.4
258.4,259.5,259.4
258.5,259.6,259.4
258.5,259.6,259.6
258.4,259.6,259.4
258,259.3,259.4
257.6,259,258.5
256.9,258.6,257.6
256.4,257.9,256.5
255.6,257.2,255.4
254.6,256.2,254
253.8,255.3,252.7
252.4,254.2,251.1
251.2,253.1,249.4
250.9,252.9,249.5
250.2,251.8,248
248.7,250.3,246
246.9,248.9,244.1
245.6,247.3,242.2
243.9,245.7,240.4
242.3,244.1,238.5
240.1,242.3,236.3
238.4,240.5,234.3
236.8,238.6,232.2
234.8,236.6,229.6
232.7,234.5,227.6
230.3,232.4,225
227.9,230,222.5
225.5,227.8,220.3
223.4,225.5,217.6
221.2,223.2,215.3
218.9,220.9,213.1
216.6,218.7,210.7
214.4,216.2,208
211.5,213.8,205.7
209.2,211.3,202.9
207.2,209.3,201
205,207,198.7
202.3,204.8,196.4
200.8,202.5,194.7
197.9,200.3,192.4
196.2,198.1,190.2
193.7,195.8,188
191.5,193.8,186.2
189.7,191.8,184
187.3,189.3,181.9
185.4,187.5,180.1
183.5,185.4,178.1
181.3,183.2,176.1
179.3,181.3,174.3
177.5,179.3,172.6
175.6,177.5,170.7
173.8,175.6,169
171.8,173.8,167.5
169.8,171.9,165.5
168,170,164
166.8,168.2,162.2
164.5,166.6,160.6
163,164.9,159.3
161.5,163.2,157.2
159.9,161.6,155.8
158.5,160,154.5
157,158.4,153.3
155.3,157,151.9
154,155.6,150.6
152.7,154,149.1
151.2,152.6,147.8
149.6,151.1,146.4
148.6,150,145.5
148.4,149.9,145.3
146.7,148.3,143.6
145.3,146.9,142.2
143.9,145.8,141
142.9,144.8,140
142.6,143.5,139.6
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
